reconstructor,image_id,original_prompt,generated_prompt,clip_score,bertscore_precision,bertscore_recall,bertscore_f1,latency_seconds
pez,000001,"A psychedelic goliath warrior rust monster, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski",amalexoplandrenated creeps creeps horrifying daredevil,0.2686,0.7278918623924255,0.7080000042915344,0.7178081274032593,67.97999999999999
pez,000003,"A psychedelic refrum rust monster, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski",viral fossilmeatsneaker monster tabletop slime ':,0.3014,0.7473670244216919,0.7097764611244202,0.7280868291854858,67.97999999999999
pez,000005,"A psychedelic death knight water elemental, vibrant color scheme, highly detailed, in the style of romanticism, cinematic, artstation, Moebius, Greg rutkowski",anirfuture future 🌀 exquisite exhilarating unnoticed zen,0.267,0.7397141456604004,0.7194269299507141,0.7294295430183411,67.97999999999999
pez,000006,a horse doing a kickflip on a skateboard while wearing sick 90's cool kid clothing,wesome homme *-* decal ❥ subliunlea―,0.2753,0.654771625995636,0.6550115346908569,0.6548914909362793,67.97999999999999
pez,000027,sonic in a pitch black forest,forestation snowy stormdarkness coupon stocdelicious,0.2591,0.7089939117431641,0.7426259517669678,0.7254202961921692,67.97999999999999
pez,000032,"london 4k, hd, photorealistic",london panorama explored pathways boroughperegrairspace urged,0.3607,0.7497578859329224,0.763076901435852,0.756358802318573,67.97999999999999
pez,000034,"concept art, Citroën XM (1994), retro cyberpunk, Krenz Cushart, Ross Tran",vehicle vehicles topia conceptart vanesssmog rejecgames,0.3255,0.7493399977684021,0.7229978442192078,0.735933244228363,67.97999999999999
pez,000049,"Joseph Stalin and Maria Sharapova eating lunch, 4k photo,",palestinians armenian chisabandon stalin poindictatinductees,0.3334,0.7008883953094482,0.7239830493927002,0.7122485637664795,67.97999999999999
pez,000070,"Soviet Desolator from Red Alert, military art",saberzom💥 backpacks biomesocietal combat machines,0.2909,0.7257221937179565,0.7397976517677307,0.732692301273346,67.97999999999999
pez,000077,a photo from the future,tro fury porto calvert starwars roadsafety folklurus,0.2948,0.6809884309768677,0.7159189581871033,0.6980170011520386,67.97999999999999
pez,000084,"Stray cat sitting on a roof watching a cyberpunk futuristic city, ultra realistic, unreal engine",gotham examines cinematic cinematic reboot inyourcontexcinemato,0.2836,0.7467120885848999,0.7230633497238159,0.7346974611282349,67.97999999999999
pez,000088,"a Rainbow cat ready to catch a mouse, ultra realistic, 8K",colonel aasnavis unveils aromatherapy psychedelic snuggle lsd,0.3059,0.6872456669807434,0.7124000787734985,0.6995968222618103,67.97999999999999
pez,000089,"Mara Carfagna in Yakuza videogame, artwork trending on artstation, digital art, 8k",【 assassinscreed inmate ryn ryu 😙 remastered clones,0.325,0.7216116189956665,0.716002881526947,0.7187963724136353,67.97999999999999
pez,000103,"brain tree eye holy grail, cinematic masterpiece, very detailed",suspense explores powerful unleacards intelligcreepshabbat,0.2768,0.7339169979095459,0.7558094263076782,0.7447023391723633,67.97999999999999
pez,000115,"happy raccoon pushing a grocery cart with medical supplies, a laptop perched on top, and a face mask hanging off a corner.",mapp important toothpaste shops business woman adoptdont:/,0.2627,0.6916248798370361,0.7060891389846802,0.6987821459770203,67.97999999999999
pez,000128,"Falco Lombardi from Starfox, full color painting by J.C. Leyendecker",possible warped terror lancers bandits nya karate raccoon,0.311,0.705660343170166,0.6654441356658936,0.6849624514579773,67.97999999999999
